nome,concelho,estado,promotor,tipologias,conclusao,preco_m2,notas,latitude,longitude,link
Menéres 777,Matosinhos,em construcao,,,2027,,Apartamentos T2 e T3,41.179078,-8.68319,https://m777.pt
Antas Prime,Porto,em construcao,,,2026,,Em construção; T2/T3,41.16054183295912,-8.585580295037614,
Forte,Vila do Conde,em construcao,,,2028,,Apartamentos T0/T1/T3,41.34337951168891,-8.750900385790908,https://27006740.hs-sites-eu1.com/pt-pt/vc-forte
Foliage,Porto,em construcao,,,2027,,Apartamentos T3/T4,41.16061301566964,-8.673432579455456,https://27006740.hs-sites-eu1.com/hubfs/Foliage_Tabela%20Comercial%20atualizada.pdf?hsLang=pt
Raiz,Porto,em construcao,,,2027,,Apartamentos T2/T3/T4,41.16458988957599,-8.670498322071996,https://27006740.hs-sites-eu1.com/pt/raiz?utm_medium=email&_hsenc=p2ANqtz--XhdItuZqcipNY-SQhlNAz90WaPTjZSqWU8-RgeEAKar7kyh4FuTtwROeU6CWuDlV8wZFZ3kzY2UPgDu7C8u4rKzj7QxdJw_J1TcQjl3GkTbwqRYg&_hsmi=118212834&utm_content=118212834&utm_source=hs_email
The Avenue,Porto,em construcao,,,2026,,Apartamentos T2/T3/T4,41.16521362846466,-8.59755387983526,https://nort-properties.com
The View,Gondomar,em construcao,,,2027,,Apartamentos T3,41.13823767440179,-8.570998603252303,https://nort-properties.com
Avenida Premium,Vila nova de Gaia,em construcao,,,2025,,Apartamentos T2/T3,41.11687076428396,-8.60676265928301,https://www.avenidapremium.pt
Bosk,,Em licenciamento,,,2028,,Apartamentos T2 e T3,41.13344697492787,-8.537099324342659,https://nort-properties.com
Gramoínhos,Vila nova de Gaia,Em construção,,,2027,,Apartamentos T2,41.108807119835845,-8.622940960507071,https://nossocapital.pt
Madalena Vista Mar,Vila nova de Gaia,Licenciado,,,2029,,Apartamentos T2 e T3,41.10759126658638,-8.654901852935241,https://nossocapital.pt
Herdade de Vilar,Vila nova de Gaia,Licenciado,,,2028,,Apartamentos T0/T1/T2,41.08653343602931,-8.623769513683161,https://herdadevilar.com
